name,jobs,machines,optimum,bounds,path,solver,time_total,time_parse,time_solve,mus_size,refinement,rotation,symmetry,sat_calls,unsat_calls,solver_calls,total_solve_only,solution,status
abz5,10,10,1234,"{'upper': 1234, 'lower': 1234}",jsplib/abz5,exact,0.54483962059021,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
abz6,10,10,943,"{'upper': 943, 'lower': 943}",jsplib/abz6,exact,0.5049476623535156,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
abz7,20,15,656,"{'upper': 656, 'lower': 656}",jsplib/abz7,exact,0.49450206756591797,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
abz8,20,15,,"{'upper': 665, 'lower': 645}",jsplib/abz8,exact,0.4728102684020996,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
abz9,20,15,,"{'upper': 679, 'lower': 661}",jsplib/abz9,exact,0.5957150459289551,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
ft06,6,6,55,"{'upper': 55, 'lower': 55}",jsplib/ft06,exact,0.4551126956939697,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
ft10,10,10,930,"{'upper': 930, 'lower': 930}",jsplib/ft10,exact,0.4761993885040283,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
ft20,20,5,1165,"{'upper': 1165, 'lower': 1165}",jsplib/ft20,exact,0.4352128505706787,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la01,10,5,666,"{'upper': 666, 'lower': 666}",jsplib/la01,exact,0.5070452690124512,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la02,10,5,655,"{'upper': 655, 'lower': 655}",jsplib/la02,exact,0.4474461078643799,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la03,10,5,597,"{'upper': 597, 'lower': 597}",jsplib/la03,exact,0.48778557777404785,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la04,10,5,590,"{'upper': 590, 'lower': 590}",jsplib/la04,exact,0.5018231868743896,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la05,10,5,593,"{'upper': 593, 'lower': 593}",jsplib/la05,exact,0.46196460723876953,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la06,15,5,926,"{'upper': 926, 'lower': 926}",jsplib/la06,exact,0.5943527221679688,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
la07,15,5,890,"{'upper': 890, 'lower': 890}",jsplib/la07,exact,0.5465614795684814,,,,,,,,,,,/home/orestis_ubuntu/work/exact/src/exact.cpython-311-x86_64-linux-gnu.so: failed to map segment from shared object,unknown
